Question_ID,Domain,N_Pages,Question,A,B,C,D,E,F,Correct_Answer,Doc_ID,Page_Num
0,domain_2,5,Як рекомендовано приймати ретаболіл дорослим?,внутрішньо,підшкірно,орально,внутрішньовенно,внутрішньом’язово,інгаляційно,E,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,1
2,domain_2,15,На підставі якого фактору слід визначати доцільність використання в пацієнта напівсинтетичного пеніциліну широкого спектра дії?,Тяжкість інфекційного процесу,Особистий досвід лікаря,Виключно за результатами аналізів,Залежно від пацієнта,Наявність алергічних реакцій,Літній вік,A,1caa31f28b0feabbe319d352bf58cb08adcc4dc8.pdf,7
3,domain_1,101,Яка тривалість тайм-ауту в баскетболі?,45 секунд,2 хвилини,3 хвилини,1 хвилина,"1,5 хвилини",30 секунд,D,b59848334218c38574465a72b75d6b4744bb985f.pdf,22
4,domain_2,8,Яку дію здійснює фенілраміну малеат в складі фервексу?,стимулює активність мікросомальних ферментів печінки,компенсує потреби організму у вітаміні С,чинить протизапальну дію,знижує температуру,зменшує запальну реакцію слизових оболонок,знеболює,E,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,1
13,domain_1,48,Які індивідуальні засоби захисту є обов'язковими для чоловіків у куміте?,Паховий протектор,Бронежилет,Спеціальні рукавички,Захист рук і ніг,Протектор для колін,Шолом з захистом,A,31e80927922c1ffb86a2fcf32c073097d8f4ac72.pdf,27
20,domain_1,101,Скільки гравців в кожній команді грають в баскетболі?,Два гравці,Три гравці,Чотири гравці,П'ять гравців,Сім гравців,Шість гравців,D,b59848334218c38574465a72b75d6b4744bb985f.pdf,2
24,domain_2,8,Як слід приймати Фервекс?,по 2 саше 1 раз на добу,по 2 саше 2 рази на добу,по 1 саше 2-3 рази на добу,по 1 саше 4 рази на добу,по 1 г 1 раз на добу,5 днів що 15 хвилин,C,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,5
25,domain_2,10,Якого режиму прийому офлоксацину євро потрібно дотримуватися при одночасному застосуванні з антацидами?,приймати за 2 години до їх застосування,вживати обидва після їжі,випивати через 30 хвилин,можна приймати разом,приймати обидва з їжею,не застосовувати взагалі,A,60d1bee90467207fbbac980b346b932229542c73.pdf,3
26,domain_2,5,Яка максимальна доза Ретаболілу для жінок?,по 150 мг 2 рази на місяць,по 50 мг кожні 3 тижні,по 100 мг 2 рази на тиждень,по 200 мг 1 раз на тиждень,по 300 мг 1 раз на тиждень,по 100 мг 1 раз на тиждень,F,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,1
40,domain_2,8,Які побічні ефекти з боку травної системи можуть виникнути при застосуванні фервексу?,токсичний епідермальний некроліз,"мігрені, галюцинації","жовтяниця, гепатонекроз","підвищення тиску, тахікардія","гепатонекроз, печія","глобальний астигматизм, глаукома",E,f4539bc3a79016285524705e25fee5a8d523db3d.pdf,7
42,domain_1,101,Які кольори повинні бути у всіх ліній на баскетбольному майданчику?,Зеленого,Червоного,Синього,Чорного,Білого або іншого контрастного кольору,Помаранчевого,E,b59848334218c38574465a72b75d6b4744bb985f.pdf,3
46,domain_1,101,Яка максимальна кількість гравців може бути в команді з баскетболу?,15 членів команди,14 членів команди,8 членів команди,12 членів команди,11 членів команди,10 членів команди,D,b59848334218c38574465a72b75d6b4744bb985f.pdf,9
53,domain_2,5,Що рекомендовано контролювати під час лікування Ретаболілом?,контроль пульсу,"рекомендується контролювати
внутрішньоочний тиск через можливу затримку в організмі натрію і води.",контроль чутливості до глюкози,контроль артеріального тиску,контроль функції нирок,контроль рівня арнії,B,4e779acee13fa6e0763fb33d1c83030b8e6ea33d.pdf,3
