Question_ID,Domain,N_Pages,Question,A,B,C,D,E,F,Correct_Answer,Doc_ID,Page_Num
1,domain_1,89,Які типи змагань проводяться з боротьби самбо?,тільки індивідуальні ,"особисті, командні, особисто-командні",тільки особисті,змагання не проводяться,тільки командні,тільки командні та індивідуальні,B,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,3
7,domain_2,5,Яким чином Вінпоцетин впливає на мозковий кровообіг?,призводить до тромбоутворення,покращує мікроциркуляцію у тканинах мозку,підвищує артеріальний тиск,погіршує обмін речовин,зменшує кровоток,збільшує в'язкість крові,B,f8e8ea2b7e82798862bc3d7b2753f2262642d889.pdf,4
8,domain_2,7,Яка рекомендована тривалість лікування препаратом Амоксикомб?,до 21 дня,не менше 30 днів,можна приймати без обмежень,2 роки,не довше 14 днів,зазвичай 5 днів,E,828b7ab8d9ead3e6f25ce173cd6f03cce5c800c1.pdf,2
9,domain_2,9,Яка максимальна добова доза препарату діаремікс при гострій діареї?,12 капсул,6 капсул,4 капсули,8 капсул,10 капсул,2 капсули,B,114aa3c7890f255d1134a31a22a29caae427a6f1.pdf,6
11,domain_1,89,Хто затверджує регламент проведення змагань з боротьби самбо?,Міністерство молоді та спорту України,Обласні федерації спорту,Національна федерація самбо України та організатор змагань,"Спортсмени, які беруть участь",Суддівська колегія,Головний суддя змагань,C,72e790ea927cb79b08838bcd0e290c83fd4f6e06.pdf,2
12,domain_2,13,"Які з цих лікарських засобів можуть знижувати абсорбцію зидовудину, що у складі ретровіру?",фенітоїн,ставудин,атоварон,рибавірин,кларитроміцин,метадон,E,20e086e7585d5e496d67ed2313ceb5aa53b409b5.pdf,11
14,domain_2,7,Скільки часу необхідно продовжувати лікування амоксициліном після зникнення симптомів?,один день,5 днів,від 2 до 3 днів,два тижні або більше,7 днів,два тижні,C,2827fbd42bc74ef48ac74ef40b90868b94b1da79.pdf,3
15,domain_2,11,Яка діюча речовина міститься в ланзоптолі?,лансопразол,дигоксин,титану діоксид,желатин,атазанавір та нелфінавір,гіпромелоза,A,780fd55597cd81f1cf0d1492926ab69cfb115d89.pdf,1
16,domain_2,7,Яка активна речовина міститься в препараті Амоксикомб у дозі 500 мг/125 мг?,алопуринол,магнію стеарат,тетрациклін,азитроміцин,натрію крохмальгліколят,амоксицилін тригідрат і калію клавуланат,F,828b7ab8d9ead3e6f25ce173cd6f03cce5c800c1.pdf,1
17,domain_2,11,Які побічні реакції з боку психіки трапляються при застосуванні ланзоптолу?,Гіпомагніємія,"Сонливість, галюцинації",Порушення зору,Анемія,Алергічні реакції на пеніциліни,"Депресія, галюцинації,
сплутаність свідомості",F,780fd55597cd81f1cf0d1492926ab69cfb115d89.pdf,10
